10/11/24 11:19:27: main.scss - `global/base/reset` file not found for @import: main.scss on line 13, at column 1
10/11/24 12:31:08: main.scss - parse error: failed at `margin-bottom: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/two-cards.scss on line 94, at column 7
10/11/24 1:48:18: main.scss - parse error: failed at `padding-bottom: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/large-video.scss on line 4, at column 7
10/11/24 2:06:42: main.scss - parse error: failed at `.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 10, at column 1
10/11/24 2:06:43: main.scss - parse error: failed at `.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 10, at column 1
10/11/24 2:06:47: main.scss - parse error: failed at `.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 10, at column 1
10/11/24 2:06:59: main.scss - parse error: failed at `.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 10, at column 1
10/11/24 2:07:00: main.scss - parse error: failed at `.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 10, at column 1
10/11/24 2:07:07: main.scss - parse error: failed at `.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 10, at column 1
10/11/24 2:07:34: main.scss - parse error: failed at `.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 10, at column 1
10/11/24 2:07:36: main.scss - parse error: failed at `.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 10, at column 1
10/11/24 2:07:42: main.scss - parse error: failed at `.` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 10, at column 1
10/11/24 2:08:16: main.scss - parse error: failed at `border-radius: ;` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 14, at column 7
10/11/24 2:10:42: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:10:48: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:10:57: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:00: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:03: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:06: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:06: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:16: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:21: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:23: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:27: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:28: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:30: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:34: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:37: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:39: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:42: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:46: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:47: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:49: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:54: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:57: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:11:58: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:12:01: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:12:28: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:12:49: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:12:57: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:13:00: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:13:11: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:13:14: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:13:28: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:13:40: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:13:50: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:13:57: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:14:10: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:14:29: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:14:36: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:14:39: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:14:40: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:14:41: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:14:43: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:14:52: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:19: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:20: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:26: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:30: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:35: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:36: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:41: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:42: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:43: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:44: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:45: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:46: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:47: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:47: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:48: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:49: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
10/11/24 2:15:50: main.scss - parse error: failed at `posa` /nas/content/live/devmedva/wp-content/themes/medva/assets/scss/pages/flexible/quick-links.scss on line 8, at column 5
